Time, Angle (rad)
6,-2.310201
7,-2.093418
8,-2.378868
9,-2.891578
10,-0.092651
11,0.010523
12,-0.110200
13,0.223413
14,-0.556849
15,-2.265535
16,-2.338015
17,3.141593
18,-2.199593
19,-0.896055
20,2.498092
21,1.837048
22,2.523474
23,3.083964
24,2.774419
25,2.738938
26,-3.002320
27,-3.075898
28,3.122727
29,-2.785728
30,-1.815775
31,1.919413
32,-0.685730
33,-0.176709
34,0.471560
35,-2.356194
36,-0.394791
37,0.270532
38,-0.215358
39,-1.289722
40,-0.223165
41,2.503096
42,2.858416
43,2.703256
44,-2.918864
45,-2.975937
46,2.897640
47,1.691750
48,0.532705
49,1.764888
50,1.711984
51,1.416775
52,-1.594048
53,-2.158799
54,-0.010895
55,-0.311629
56,-0.483126
57,-0.085994
58,0.408707
59,-0.272103
60,1.308772
61,1.319577
62,1.243396
63,1.148791
64,1.413121
65,0.902507
66,1.647911
67,2.091053
68,2.054243
69,1.800028
70,1.851333
71,1.521758
72,1.149377
73,0.812419
74,0.127858
75,0.375594
76,-0.226221
77,0.130752
78,-0.321751
79,0.370999
80,-1.779819
81,-2.333561
82,-2.203545
83,-1.784857
84,-1.640577
85,-0.166394
86,1.817654
87,2.602405
88,1.948443
89,2.834916
90,1.721256
91,0.043017
92,0.421604
93,-0.076772
94,-0.043451
95,-1.294336
96,-0.727122
97,-0.833346
98,1.677181
99,1.408597
100,1.441441
101,1.726889
102,1.590929
103,1.255512
104,1.801887
105,1.712693
106,1.201619
107,1.332960
108,-1.315355
109,-1.011146
110,-1.623379
111,-1.599522
112,-1.199905
113,-1.670465
114,-1.685928
115,-2.245537
116,-2.507857
117,-2.210878
118,-1.964434
119,-2.100039
120,-1.905533
121,-0.451020
122,1.570796
123,1.771122
124,1.373948
125,1.312025
126,1.485944
127,-0.808304
128,-1.095557
129,-1.105023
130,-1.203622
131,-0.786911
132,0.558717
133,0.863142
134,0.956133
135,1.462856
136,1.493422
137,1.838707
138,2.388441
139,2.210609
140,1.937494
141,2.217555
142,2.053310
143,1.471100
144,1.680115
145,1.625091
146,1.705118
147,1.798740
148,1.987846
149,1.740123
150,1.452704
151,0.552841
152,0.410127
153,0.187675
154,0.286895
155,-0.215488
156,-0.024385
157,-0.635233
158,0.376736
159,0.678653
160,1.742337
161,2.028949
162,1.260628
163,1.591817
164,1.539117
165,1.282945
166,-0.479860
167,3.043547
168,2.515980
169,0.785398
170,-2.353503
171,-2.492597
172,-2.220667
173,-2.746802
174,2.537390
175,1.892547
176,1.303180
177,1.077385
178,-0.558901
179,-1.313700
180,-1.331751
181,-1.227772
182,-1.076855
183,2.045796
184,2.356194
185,-2.892155
186,-2.871508
187,3.089010
188,-2.557587
189,-2.826342
190,-2.944197
191,-2.860892
192,-1.804372
193,-2.428920
194,3.117045
195,-2.883720
196,-2.158799
197,3.020241
198,2.388441
199,-3.048899
200,1.594465
201,1.705810
202,2.660705
203,-3.076637
204,-2.562097
205,-2.312862
206,-2.488746
207,-1.723446
208,0.785398
209,0.996976
210,0.864182
211,0.701083
212,0.802087
213,1.449461
214,2.173084
215,2.108394
216,1.786154
217,1.297137
218,0.914419
219,1.260409
220,1.281705
221,1.516307
222,1.437315
223,1.805666
224,1.451863
225,-2.293370
226,-2.050507
227,-1.955954
228,-2.521343
229,2.269923
230,0.523278
231,1.336727
232,1.895794
233,1.690225
234,2.723368
235,2.553711
236,1.523484
237,1.116494
238,1.007506
239,1.064295
240,0.946408
241,1.219225
242,2.459276
243,2.182390
244,2.867280
245,-3.074502
246,2.701808
247,2.600298
248,2.970776
249,2.590917
250,2.239828
251,1.940578
252,1.804763
253,1.644735
254,1.108200
255,1.226559
256,0.950547
257,1.574861
258,1.557805
259,1.920376
260,2.220079
261,2.391824
262,3.070108
263,-2.901422
264,2.955399
265,2.722251
266,3.013643
267,2.677945
268,1.876756
269,2.019520
270,2.104457
271,1.923787
272,1.874593
273,-2.761086
274,-2.850432
275,-1.707006
276,2.459276
