Time, Angle (rad)
6,2.697268
7,2.299548
8,2.184736
9,1.541183
10,1.304544
11,1.495254
12,1.426293
13,0.989416
14,0.667741
15,1.311098
16,0.218303
17,-0.080904
18,1.325424
19,0.924901
20,-0.380506
21,0.756340
22,2.198677
23,0.890785
24,2.021691
25,2.774000
26,3.045119
27,2.219650
28,2.202780
29,2.000559
30,1.395609
31,1.467715
32,1.421906
33,1.723446
34,1.036312
35,0.873339
36,1.052004
37,-0.205395
38,0.177275
39,-0.026330
40,-0.528074
41,-0.810042
42,-2.111216
43,-2.939188
44,2.939601
45,2.290075
46,1.933341
47,1.642969
48,0.650619
49,1.612523
50,0.226225
51,-0.066746
52,0.756835
53,1.304014
54,1.040321
55,1.446274
56,1.463888
57,1.607724
58,1.743528
59,2.032680
60,-3.058451
61,-2.102886
62,-1.543026
63,-1.260684
64,-2.557641
65,-2.399616
66,-3.057580
67,2.586727
68,2.961739
69,2.197360
70,-2.463608
71,-2.629203
72,-2.671188
73,2.792822
74,-2.414950
75,1.941168
76,1.349593
77,1.383800
78,1.051650
79,1.198580
80,0.467891
81,0.440751
82,0.855545
83,1.390943
84,1.599360
85,1.916238
86,1.789178
87,1.791978
88,0.318183
89,-0.662992
90,0.266252
91,-0.200825
92,-0.380185
93,0.621057
94,2.156357
95,2.744549
96,2.636368
97,2.239608
98,2.309354
99,2.225900
100,2.285341
101,2.052336
102,2.280834
103,2.170516
104,2.017400
105,1.657616
106,1.492525
107,0.991936
108,0.906804
109,1.028365
110,1.459010
111,1.496173
112,1.373401
113,1.364999
114,1.295218
115,0.547903
116,-0.170654
117,-1.735945
118,1.321557
119,1.618885
120,0.796952
121,0.682954
122,0.924055
123,0.910948
124,0.669898
125,1.085100
126,0.995091
127,0.857438
128,0.665612
129,0.848567
130,0.505290
131,0.401871
132,0.909906
133,1.019141
134,1.239886
135,1.551109
136,1.587461
137,1.921524
138,2.122451
139,1.195308
140,1.420425
141,1.467715
142,1.405648
143,1.630157
144,2.370536
145,2.053421
146,2.288628
147,-2.390664
148,-2.405295
149,1.251324
150,-2.339670
151,-2.410963
152,-2.596265
153,-1.526225
154,-2.060593
155,-1.385708
