Time, Angle (rad)
6,1.702620
7,1.680862
8,1.932237
9,2.325266
10,1.901177
11,1.613692
12,2.447044
13,2.886410
14,2.297439
15,2.457469
16,2.524752
17,2.770701
18,3.105209
19,-2.911639
20,-2.363350
21,-2.385382
22,-1.128422
23,-1.008362
24,2.342979
25,2.459891
26,2.055274
27,1.299849
28,1.586870
29,1.249046
30,0.671801
31,2.344653
32,2.723066
33,2.397226
34,2.148138
35,1.490259
36,1.061184
37,1.014630
38,1.520838
39,0.986125
40,-2.707605
41,-2.819842
42,-3.014247
43,-2.566168
44,-2.595433
45,-2.774711
46,2.944197
47,1.076855
48,1.453820
49,1.109019
50,1.371637
51,0.883979
52,0.309521
53,-0.115999
54,-0.576856
55,-0.775698
56,-0.855604
57,-1.433541
58,-1.376555
59,-1.266390
60,-0.191665
61,1.797985
62,1.866237
63,0.882388
64,0.986666
65,1.339706
66,0.959893
67,0.865295
68,1.453688
69,1.712693
70,1.712693
71,-0.071307
72,1.712693
73,2.191046
74,2.023774
75,1.640451
76,2.620393
77,1.865031
78,-2.985818
79,-3.092021
80,2.896614
81,1.178616
82,-2.125104
83,-1.723446
84,-1.623379
85,-2.341490
86,-1.304544
87,1.185277
88,1.570796
89,0.851858
90,0.160988
91,1.830200
92,1.442245
93,1.110592
94,1.561855
95,0.950547
96,-0.528074
97,-0.473435
98,-0.318076
99,-0.183111
100,-0.429112
101,-0.205102
102,0.047583
103,2.060644
104,0.439843
105,1.072289
106,1.204668
107,0.950547
108,0.124355
109,2.071975
110,-2.777614
111,-1.543056
112,-1.468590
113,-1.463415
114,-1.199821
115,0.615544
116,0.664046
117,0.994978
118,0.706597
119,0.413675
120,0.182496
121,0.058072
122,-0.534443
123,-0.542750
124,-0.704138
125,-0.868226
126,-0.372142
127,-0.335280
128,1.025208
129,1.688419
130,2.075460
131,2.746802
132,1.609853
133,-1.221179
134,-0.477499
135,-0.851966
136,-0.281689
137,1.373401
138,1.931820
139,2.584451
140,-0.469091
141,-1.201011
142,-1.287129
143,-1.743785
144,-1.617274
145,-2.407221
146,1.733477
147,2.746802
148,1.497919
149,2.578276
150,2.932731
151,-2.952121
152,-2.910867
153,-2.508491
154,2.863293
155,3.017238
156,2.568707
157,1.514168
158,1.862212
159,2.175626
160,2.070143
161,1.967177
162,2.326826
163,2.627496
164,-2.800218
165,-2.102746
166,-2.819842
167,-2.996248
168,-2.778735
169,-1.916685
170,-2.356194
171,-1.886736
172,-1.004067
173,-0.694738
174,0.213106
175,0.362544
176,0.982794
177,-2.521343
178,-3.062809
179,-2.834360
180,-2.478390
181,-2.782822
182,2.497779
183,1.849096
184,2.020056
185,2.343208
186,2.677945
187,-1.504228
