Time, x Vel, y Vel, Vel
5,-0.005119,0.172351,0.172351
6,-0.024871,0.145703,0.145703
7,-0.059071,0.124566,0.124566
8,-0.052857,0.120490,0.120490
9,-0.038384,0.028283,0.028283
10,0.000871,0.048297,0.048297
11,-0.006929,-0.000566,-0.000566
12,-0.018000,-0.022000,-0.022000
13,-0.022667,0.051434,0.051434
14,-0.069818,0.033111,0.033111
15,-0.082040,0.090535,0.090535
16,-0.092202,0.057313,0.057313
17,-0.116000,0.022000,0.022000
18,-0.115152,0.002020,0.002020
19,-0.075960,-0.056535,-0.056535
20,-0.036364,-0.044444,-0.044444
21,0.008000,-0.040000,-0.040000
22,0.042970,-0.021131,-0.021131
23,0.006000,-0.026000,-0.026000
24,-0.022222,0.010101,0.010101
25,-0.026000,0.024000,0.024000
26,-0.030000,0.036000,0.036000
27,0.022000,0.064000,0.064000
28,0.011461,0.049565,0.049565
29,0.023333,0.019333,0.019333
30,0.023394,0.009374,0.009374
31,-0.059030,0.019475,0.019475
32,-0.049505,0.013861,0.013861
33,-0.041333,0.050667,0.050667
34,-0.053394,0.068626,0.068626
35,0.051030,0.096525,0.096525
36,0.075248,0.097030,0.097030
37,0.036713,0.049663,0.049663
38,0.008000,0.018000,0.018000
39,-0.041069,-0.006376,-0.006376
40,-0.057406,-0.035204,-0.035204
41,-0.059406,-0.005941,-0.005941
42,-0.072000,-0.004000,-0.004000
43,-0.086931,-0.061624,-0.061624
44,-0.079010,-0.036222,-0.036222
45,-0.005307,-0.019723,-0.019723
46,0.017604,0.013663,0.013663
47,0.016000,0.070000,0.070000
48,0.010653,0.097673,0.097673
49,0.019168,0.100911,0.100911
50,0.043564,0.069307,0.069307
51,0.058000,0.054000,0.054000
52,0.125763,0.001475,0.001475
53,0.066832,-0.038911,-0.038911
54,0.102832,-0.060970,-0.060970
55,0.079737,-0.085859,-0.085859
56,0.029463,-0.093229,-0.093229
57,0.025758,-0.110404,-0.110404
58,-0.012000,-0.094000,-0.094000
59,0.034343,-0.042424,-0.042424
60,0.038121,0.012081,0.012081
61,0.004242,0.066404,0.066404
62,-0.012384,0.058061,0.058061
63,0.030303,0.054545,0.054545
64,0.014000,0.016000,0.016000
65,0.054000,0.012000,0.012000
66,0.066667,0.088889,0.088889
67,-0.010384,0.057737,0.057737
68,0.006465,0.074949,0.074949
69,-0.002000,0.038000,0.038000
70,0.001717,-0.028949,-0.028949
71,0.028566,0.008929,0.008929
72,-0.020465,0.003051,0.003051
73,-0.012000,0.056000,0.056000
74,-0.023939,0.063293,0.063293
75,-0.032566,0.059071,0.059071
76,-0.034000,0.032000,0.032000
77,-0.014000,0.032000,0.032000
78,-0.016162,-0.002020,-0.002020
79,-0.044000,-0.024000,-0.024000
80,0.016000,0.026000,0.026000
81,-0.007980,-0.019446,-0.019446
82,-0.009899,-0.005273,-0.005273
83,0.005859,-0.026990,-0.026990
84,-0.030000,-0.066000,-0.066000
85,-0.021549,-0.021025,-0.021025
86,0.023960,0.000772,0.000772
87,0.002020,0.040404,0.040404
88,0.007859,0.043333,0.043333
89,0.035411,0.005183,0.005183
90,0.000040,0.005228,0.005228
91,0.002020,0.034343,0.034343
92,0.006298,0.041176,0.041176
93,-0.003881,0.049287,0.049287
94,0.008000,0.014000,0.014000
95,0.034101,-0.019758,-0.019758
96,0.046227,-0.027035,-0.027035
97,0.056646,-0.040626,-0.040626
98,0.113253,-0.002606,-0.002606
99,0.096000,-0.034000,-0.034000
100,0.096970,-0.042424,-0.042424
101,0.067354,-0.009374,-0.009374
102,-0.018182,-0.000000,-0.000000
103,-0.010000,0.046000,0.046000
104,0.018646,0.032949,0.032949
105,0.030000,0.026000,0.026000
106,0.043424,0.036844,0.036844
107,0.027374,0.013818,0.013818
108,-0.012000,0.034000,0.034000
109,-0.033287,0.030158,0.030158
110,-0.030495,-0.038238,-0.038238
111,0.014626,-0.059818,-0.059818
112,0.003455,-0.068970,-0.068970
113,0.018762,-0.062946,-0.062946
114,0.022000,0.012000,0.012000
115,0.015677,0.049717,0.049717
116,0.052545,0.054970,0.054970
117,0.054505,0.068887,0.068887
118,0.072000,0.028000,0.028000
119,0.060606,0.016162,0.016162
120,0.089755,0.035878,0.035878
121,0.092969,-0.026463,-0.026463
122,0.076000,-0.040000,-0.040000
123,0.111717,-0.085879,-0.085879
124,0.072245,-0.117878,-0.117878
125,0.057051,-0.045636,-0.045636
126,0.086000,-0.006000,-0.006000
127,0.016436,0.012851,0.012851
128,0.013737,0.081576,0.081576
129,-0.001505,0.038436,0.038436
130,-0.054788,0.041737,0.041737
131,-0.028436,0.037149,0.037149
132,-0.017737,-0.031576,-0.031576
133,0.043505,-0.054436,-0.054436
134,0.050505,-0.028283,-0.028283
135,0.035636,-0.026747,-0.026747
136,0.018257,0.012614,0.012614
137,-0.032000,0.054000,0.054000
138,-0.004040,0.026263,0.026263
139,-0.005636,0.028747,0.028747
140,0.009901,-0.023762,-0.023762
141,0.028000,-0.058000,-0.058000
142,0.012121,-0.076768,-0.076768
143,-0.006000,-0.072000,-0.072000
144,-0.030158,-0.046851,-0.046851
145,-0.012222,0.011091,0.011091
146,0.006061,0.028283,0.028283
147,0.003556,0.023051,0.023051
148,-0.000465,0.035030,0.035030
149,-0.061778,-0.017091,-0.017091
150,-0.087859,0.002768,0.002768
151,-0.059556,0.000949,0.000949
152,-0.053535,-0.011030,-0.011030
153,-0.032000,-0.040000,-0.040000
154,-0.010000,-0.026000,-0.026000
155,-0.030000,0.024000,0.024000
156,-0.020792,0.024832,0.024832
157,0.019030,0.093455,0.093455
158,-0.030574,0.040594,0.040594
159,-0.023143,0.035306,0.035306
160,-0.037208,0.057168,0.057168
161,-0.048485,0.030303,0.030303
162,0.020574,0.031406,0.031406
163,-0.022655,-0.003690,-0.003690
164,-0.037960,-0.022485,-0.022485
165,-0.042424,-0.052525,-0.052525
166,-0.102242,-0.022505,-0.022505
167,-0.054545,-0.006061,-0.006061
168,-0.046040,-0.013515,-0.013515
169,-0.032529,-0.039559,-0.039559
170,0.004040,-0.058586,-0.058586
171,0.006343,-0.017556,-0.017556
172,0.021798,-0.004667,-0.004667
173,0.014408,0.024327,0.024327
174,0.034063,0.000180,0.000180
175,0.066384,-0.024869,-0.024869
176,-0.003798,0.010667,0.010667
177,-0.028343,0.015232,0.015232
178,-0.095861,0.010911,0.010911
179,-0.078384,-0.039131,-0.039131
180,-0.002263,-0.081374,-0.081374
181,-0.021657,0.008768,0.008768
182,-0.004000,0.060000,0.060000
183,-0.066000,0.112000,0.112000
184,-0.067737,0.123374,0.123374
185,-0.047030,0.009414,0.009414
186,-0.014000,-0.008000,-0.008000
187,0.022000,-0.054000,-0.054000
188,0.015212,-0.066808,-0.066808
189,0.052010,0.023892,0.023892
190,0.044000,0.000000,0.000000
191,0.000832,-0.003287,-0.003287
192,-0.011212,0.000808,0.000808
193,-0.035848,-0.042074,-0.042074
194,-0.064792,-0.021327,-0.021327
195,-0.019862,0.022802,0.022802
196,0.000000,0.036000,0.036000
197,-0.018182,0.040404,0.040404
198,-0.002737,0.035954,0.035954
199,-0.004970,0.026485,0.026485
200,0.000000,0.022000,0.022000
201,0.034343,0.020202,0.020202
202,0.041529,-0.012627,-0.012627
203,0.050000,-0.038000,-0.038000
204,0.018000,-0.008000,-0.008000
205,-0.034243,-0.011561,-0.011561
206,-0.016000,0.034000,0.034000
207,-0.008000,0.072000,0.072000
208,0.042297,0.045842,0.045842
209,0.082728,0.019642,0.019642
210,0.066317,-0.003861,-0.003861
211,0.022000,-0.038000,-0.038000
212,0.027703,-0.053842,-0.053842
213,0.040404,-0.024242,-0.024242
214,0.005941,-0.005941,-0.005941
215,0.015717,-0.000263,-0.000263
216,-0.044465,0.042040,0.042040
217,-0.061746,0.052125,0.052125
218,-0.002257,0.045802,0.045802
219,-0.037717,0.044263,0.044263
220,-0.029535,0.017960,0.017960
221,-0.027143,0.024642,0.024642
222,-0.018000,0.050000,0.050000
223,0.027616,0.099172,0.099172
224,0.034000,0.096000,0.096000
225,0.017242,0.078328,0.078328
226,0.006396,0.050733,0.050733
227,0.030384,0.004828,0.004828
228,0.017758,0.005232,0.005232
229,0.039324,-0.019742,-0.019742
230,0.033604,0.005267,0.005267
231,0.006000,-0.010000,-0.010000
232,0.040404,-0.036364,-0.036364
233,0.040141,0.022970,0.022970
234,0.020141,-0.012808,-0.012808
235,0.021802,0.044436,0.044436
236,0.011838,0.085131,0.085131
237,0.032000,0.062000,0.062000
238,0.039859,0.070808,0.070808
239,0.048198,0.021564,0.021564
240,0.034000,0.018000,0.018000
241,-0.024000,0.024000,0.024000
242,-0.022000,0.018000,0.018000
243,-0.030376,0.049723,0.049723
244,-0.003414,0.020101,0.020101
245,0.028000,0.022000,0.022000
246,0.024000,0.016000,0.016000
247,0.039604,-0.045545,-0.045545
248,0.013414,-0.038101,-0.038101
249,0.020828,-0.064303,-0.064303
250,-0.014000,-0.030000,-0.030000
251,0.017822,-0.027723,-0.027723
252,0.032000,0.008000,0.008000
253,0.014201,0.030303,0.030303
254,0.076812,-0.021723,-0.021723
255,0.016950,0.023545,0.023545
256,-0.015111,0.015960,0.015960
257,0.006970,0.008000,0.008000
258,-0.017802,0.021662,0.021662
259,-0.020000,0.028000,0.028000
260,-0.012889,-0.027960,-0.027960
