Time, x COM, y COM, COM
0,509.265152,509.734848,720.541887
1,509.076271,509.881356,720.512073
2,508.819048,509.647619,720.164925
3,508.960784,509.568627,720.209182
4,508.800000,509.290000,719.898426
5,508.757576,509.252525,719.841931
6,508.633663,509.396040,719.855908
7,508.590000,509.250000,719.721717
8,508.545455,509.171717,719.634850
9,508.633663,509.247525,719.750821
10,509.000000,509.230000,719.997356
11,509.010000,509.400000,720.124670
12,508.970297,509.207921,719.960742
13,508.890000,509.250000,719.933743
14,508.787879,509.151515,719.791894
15,508.850000,509.050000,719.764006
16,508.740000,509.120000,719.735758
17,508.831683,509.207921,719.862757
18,508.810000,509.140000,719.799386
19,508.828283,509.101010,719.784732
20,508.730000,509.140000,719.742838
21,508.710000,509.230000,719.792371
22,508.660000,509.330000,719.827788
23,508.290000,509.170000,719.453135
24,508.303030,509.303030,719.556493
25,508.190000,509.370000,719.524060
26,508.128713,509.148515,719.323988
27,507.900000,509.280000,719.255538
28,507.760000,509.180000,719.085871
29,507.940594,509.168317,719.205132
30,508.140000,509.170000,719.347168
31,508.110000,509.200000,719.347212
32,508.120000,509.100000,719.283494
33,508.040000,509.130000,719.248218
34,508.140000,509.270000,719.417954
35,508.120000,509.150000,719.318884
36,508.350000,509.100000,719.445990
37,508.366337,509.168317,719.505877
38,508.360000,509.060000,719.424752
39,508.212121,509.020202,719.292101
40,508.257426,509.118812,719.393894
41,508.171717,509.232323,719.413687
42,508.120000,509.240000,719.382591
43,508.040000,509.210000,719.304849
44,508.079208,508.990099,719.176892
45,507.969697,509.070707,719.156588
46,507.940000,509.290000,719.290864
47,508.102041,509.387755,719.474509
48,508.405941,509.425743,719.716047
49,507.989899,509.444444,719.435459
50,507.930000,509.350000,719.326287
51,507.970297,509.485149,719.450443
52,508.101010,509.343434,719.442403
53,508.386139,509.396040,719.681034
54,508.510204,509.438776,719.798926
55,508.524752,509.158416,719.610809
56,508.574257,509.168317,719.652798
57,508.686869,509.292929,719.820546
58,508.580000,509.480000,719.877411
59,508.663366,509.396040,719.876896
60,508.670000,509.700000,720.096701
