Time, x COM, y COM, COM
0,53.526718,53.328244,75.557998
1,53.355140,53.523364,75.574609
2,53.059406,53.376238,75.261699
3,52.990196,53.411765,75.238139
4,52.828283,53.444444,75.147429
5,52.848485,53.565657,75.247870
6,52.846939,53.765306,75.389038
7,52.818182,53.646465,75.284152
8,52.780000,53.710000,75.302673
9,52.840000,53.840000,75.437465
10,52.939394,53.898990,75.549193
11,52.870000,54.070000,75.622760
12,52.890000,54.140000,75.686800
13,53.010000,54.060000,75.713564
14,53.222222,54.141414,75.920338
15,53.030000,54.240000,75.856170
16,53.191919,54.141414,75.899097
17,53.260000,54.110000,75.924434
18,53.039604,54.178218,75.818724
19,53.257426,54.188119,75.978323
20,53.230000,54.160000,75.939045
21,53.360000,54.300000,76.130018
22,53.138614,54.277228,75.958737
23,53.222222,54.404040,76.107848
24,53.150000,54.410000,76.061624
25,52.858586,54.303030,75.781589
26,53.050000,54.330000,75.934520
27,53.000000,54.460000,75.992708
28,53.039604,54.653465,76.159050
29,53.040000,54.650000,76.156839
30,52.920000,54.650000,76.073313
31,53.080000,54.620000,76.163185
32,53.060000,54.860000,76.321578
33,53.019802,54.782178,76.237697
34,53.151515,54.838384,76.369705
35,53.138614,54.910891,76.412815
36,53.217822,54.861386,76.432377
37,53.300000,54.810000,76.452770
38,53.510000,54.870000,76.642266
39,53.405941,54.831683,76.542197
40,53.376238,54.772277,76.478919
41,53.400000,54.670000,76.422306
42,53.270000,54.760000,76.396011
43,53.060606,54.777778,76.262919
44,53.170000,54.880000,76.412455
45,53.141414,55.040404,76.507882
46,53.180000,55.250000,76.685559
47,53.242424,55.141414,76.650710
48,53.300000,54.960000,76.560379
49,53.161616,55.080808,76.550982
50,53.396040,55.099010,76.727035
51,53.444444,55.232323,76.856478
52,53.424242,55.313131,76.900534
53,53.484848,55.636364,77.175346
54,53.560000,55.760000,77.316565
55,53.525253,56.131313,77.560795
56,53.554455,56.257426,77.672245
57,53.390000,56.240000,77.546307
58,53.390000,56.180000,77.502803
59,53.425743,56.029703,77.418587
60,53.404040,56.121212,77.469878
61,53.450000,56.080000,77.471730
62,53.400000,55.880000,77.292525
63,53.444444,56.010101,77.417311
64,53.290000,55.940000,77.260001
65,53.250000,55.980000,77.261393
66,52.970297,56.039604,77.112188
67,53.173469,56.020408,77.237970
68,53.170000,56.060000,77.264303
69,53.151515,56.131313,77.303350
70,53.173469,55.918367,77.163992
71,52.811881,55.950495,76.938629
72,52.821782,55.841584,76.866268
73,53.060000,56.100000,77.217703
74,53.060606,56.050505,77.182168
75,53.049505,56.237624,77.310545
76,52.888889,56.292929,77.240718
77,52.909091,56.303030,77.261912
78,53.100000,56.170000,77.296047
79,53.240000,56.510000,77.639408
80,53.450000,56.440000,77.732722
81,53.424242,56.545455,77.791633
82,53.280000,56.730000,77.827060
83,53.260000,57.050000,78.046974
84,53.220000,57.210000,78.136755
85,53.212121,57.101010,78.051619
86,53.277228,57.207921,78.174223
87,53.188119,57.138614,78.062777
88,53.353535,57.080808,78.133337
89,53.424242,57.050505,78.159515
90,53.545455,57.191919,78.345589
91,53.660000,57.130000,78.378776
92,53.560000,56.990000,78.208271
93,53.590000,57.250000,78.418433
94,53.267327,57.287129,78.225464
95,53.240000,57.320000,78.230940
96,53.000000,57.495050,78.196424
97,53.070000,57.610000,78.328392
98,52.980000,57.920000,78.495903
99,52.828283,57.858586,78.348219
100,52.693069,57.950495,78.325088
101,52.710000,58.050000,78.410118
102,52.431373,58.352941,78.448165
103,52.545455,58.555556,78.675141
104,52.484848,58.575758,78.649722
105,52.620000,58.790000,78.899484
106,52.790000,59.070000,79.221519
107,52.900000,59.070000,79.294860
108,52.900990,59.009901,79.250761
109,52.929293,59.313131,79.495645
110,52.707071,59.565657,79.536801
111,52.838384,59.717172,79.737290
112,53.020000,59.670000,79.822486
113,53.020000,59.580000,79.755231
114,53.050000,59.740000,79.894744
115,52.960000,59.720000,79.820048
116,52.880000,59.710000,79.759504
117,53.010000,59.610000,79.770998
118,53.090909,59.858586,80.010593
119,53.040404,59.939394,80.037587
120,53.485149,60.257426,80.570581
121,53.470000,60.190000,80.510105
122,53.464646,60.212121,80.523090
123,53.545455,60.444444,80.750521
124,53.686275,60.450980,80.848853
125,53.717172,60.696970,81.053419
126,53.838384,60.757576,81.179151
127,53.919192,60.737374,81.217657
128,54.089109,60.871287,81.430616
129,54.108911,60.930693,81.488181
130,54.191919,60.959596,81.564922
131,54.242424,60.929293,81.575850
132,54.310000,61.240000,81.853001
133,54.326733,61.257426,81.877140
134,54.244898,61.326531,81.874613
135,54.200000,61.370000,81.877450
136,54.232323,61.535354,82.022830
137,54.160000,61.650000,82.061124
138,54.168317,61.514851,81.965136
139,54.323232,61.525253,82.075394
140,54.250000,61.700000,82.158095
141,54.262626,61.828283,82.262805
142,54.200000,61.890000,82.267929
143,54.147059,61.872549,82.219926
144,54.079208,61.762376,82.092337
145,54.161616,61.868687,82.226608
146,54.138614,61.970297,82.287953
147,54.050000,61.750000,82.063786
148,54.020202,61.757576,82.049865
149,54.101010,61.828283,82.156289
150,54.039604,61.742574,82.051351
151,53.770000,61.640000,81.796714
152,53.929293,61.676768,81.929191
153,54.029703,61.544554,81.895916
154,53.910000,61.470000,81.760926
155,54.100000,61.420000,81.848802
156,54.100000,61.450000,81.871317
157,53.900000,61.380000,81.686684
158,53.948980,61.295918,81.655876
159,54.020000,61.240000,81.660872
160,54.060000,61.320000,81.747330
161,54.000000,61.277228,81.675569
162,54.040000,61.270000,81.696600
163,54.101010,61.373737,81.814760
164,53.960000,61.460000,81.786388
165,53.881188,61.188119,81.530168
166,54.029703,61.277228,81.695211
167,54.040404,61.333333,81.744376
168,54.120000,61.290000,81.764531
169,54.000000,61.370000,81.745195
170,53.870000,61.270000,81.584250
171,54.089109,61.366337,81.801338
172,54.190000,61.360000,81.863336
173,54.151515,61.727273,82.113597
174,54.128713,61.881188,82.214348
175,54.111111,61.747475,82.102150
176,54.070707,61.626263,81.984374
177,54.030000,61.720000,82.028040
178,53.900000,61.720000,81.942470
179,53.891089,61.940594,82.102903
180,53.960396,61.861386,82.088705
181,53.888889,61.737374,81.948250
182,53.970000,61.940000,82.154273
183,53.702970,62.089109,82.091817
184,53.800000,62.220000,82.254291
185,53.900000,62.210000,82.312175
186,53.940000,62.200000,82.330818
187,53.841584,62.495050,82.489681
188,53.970297,62.465347,82.551272
189,53.990099,62.702970,82.744143
190,54.171717,62.666667,82.835295
191,54.240000,62.920000,83.071680
192,54.326733,62.772277,83.016581
193,54.616162,62.575758,83.058115
194,54.554455,62.475248,82.941818
195,54.570000,62.360000,82.865279
196,54.686869,62.494949,83.043798
197,54.790000,62.540000,83.145629
198,54.646465,62.535354,83.047616
199,54.647059,62.558824,83.065681
200,54.595960,62.767677,83.189543
201,54.594059,63.000000,83.363729
202,54.590000,63.290000,83.580453
203,54.595960,63.272727,83.571268
204,54.490000,63.330000,83.545491
205,54.595960,63.383838,83.655423
206,54.550000,63.650000,83.827352
207,54.480000,63.830000,83.918647
208,54.404040,63.838384,83.875735
209,54.280000,63.900000,83.842283
210,54.421569,63.764706,83.831049
211,54.415842,63.732673,83.802968
212,54.500000,63.880000,83.969664
213,54.575758,63.868687,84.010252
214,54.574257,63.910891,84.041368
215,54.510000,63.980000,84.052249
216,54.485149,64.089109,84.119233
217,54.540816,64.122449,84.180693
218,54.590000,64.050000,84.157416
219,54.707071,63.909091,84.126307
220,54.730000,63.970000,84.187492
221,54.767677,64.030303,84.257807
222,54.545455,64.303030,84.321328
223,54.616162,64.171717,84.267042
224,54.627451,64.411765,84.457290
225,54.534653,64.504950,84.468438
226,54.550000,64.600000,84.550946
227,54.643564,64.742574,84.720246
