Time, Angle (rad)
6,2.825821
7,-2.949014
8,-2.508844
9,-0.481463
10,-0.427855
11,-0.556103
12,0.043550
13,0.349982
14,-0.141897
15,-0.227935
16,-1.876218
17,-1.428899
18,-1.856848
19,-1.741171
20,-1.227772
21,-0.028539
22,0.651077
23,0.792781
24,0.698864
25,0.990794
26,0.779952
27,0.241312
28,-0.448141
29,0.680521
30,-0.620249
31,-0.743901
32,0.318442
33,0.257079
34,-0.448918
35,-0.438859
36,-0.933726
37,-1.210976
38,-1.341164
39,-2.181522
40,-1.825979
41,3.111299
42,2.526930
43,2.606615
44,2.084342
45,1.773118
46,1.592070
47,1.290543
48,1.447344
49,2.122197
50,2.142134
51,2.742019
52,3.133836
53,2.972367
54,-1.402884
55,-1.459404
56,-0.072065
57,0.152649
58,0.444419
59,0.302885
60,0.654083
61,0.973620
62,1.881937
63,-1.247034
64,-1.608581
65,-1.811184
66,-1.741752
67,-1.712693
68,-2.174026
69,-2.403778
70,2.704965
71,2.597474
72,2.253739
73,1.668586
74,1.428899
75,0.885067
76,0.751273
77,0.484901
78,0.287864
79,0.030294
80,0.544852
81,1.768192
82,0.661043
83,1.815775
84,1.361156
85,1.341508
86,0.975155
87,3.031580
88,-2.475058
89,2.722347
90,2.928654
91,-2.516394
92,2.736701
93,2.279423
94,2.951604
95,2.600644
96,2.000630
97,1.792878
98,1.690889
99,2.059418
100,1.499489
101,1.852516
102,2.085248
103,0.903451
104,-0.825060
105,-2.659710
106,-1.760184
107,-1.109208
108,-1.283816
109,1.515298
110,1.382248
111,1.628425
112,2.085874
113,1.877473
114,1.338239
115,0.585131
116,-0.371410
117,-0.284020
118,-0.084355
119,1.219622
120,1.216799
121,1.638516
122,1.488930
123,1.574277
124,-0.278016
125,-1.933341
126,-1.462129
127,-1.174715
128,-1.292497
129,-1.015721
130,-0.898126
131,-1.055247
132,-0.785398
133,-1.257176
134,-1.146602
135,0.270947
136,1.040023
137,0.845566
138,1.037635
139,0.938047
140,1.185302
141,1.478467
142,1.426463
143,1.501168
144,1.884645
145,1.691420
146,1.383686
147,1.631050
148,1.588338
149,1.588036
150,1.914097
151,2.056904
152,-2.544416
153,-2.134751
154,-2.012155
155,-2.094716
156,-2.300347
157,-2.727903
158,-2.829314
159,-2.495313
160,-2.245537
161,-2.066691
162,-1.992954
163,-1.467597
164,-0.188907
165,0.631079
166,0.746961
167,0.036793
168,0.348771
169,-0.174866
170,-0.290969
171,-0.456404
172,-0.269849
173,-1.133013
174,-0.761013
175,-0.861385
176,-0.819254
177,-1.458554
178,-1.061456
179,-1.017647
180,-1.408436
181,-1.497789
182,0.785398
183,-0.567617
184,-0.463648
185,-1.291869
186,-1.704518
187,-1.199905
188,-1.909544
189,-1.919346
190,-2.250125
191,0.918859
192,-0.841699
193,0.067788
194,0.386876
195,0.785398
196,-0.122035
197,1.274992
198,0.469964
199,2.025729
200,0.792929
201,0.141897
202,-0.967640
203,-1.951303
204,-0.314060
205,2.966326
206,2.677945
207,2.952394
208,2.451146
209,3.120681
210,-2.803282
211,-0.634282
212,-0.664191
213,0.059885
214,0.660987
215,0.563722
216,0.909130
217,1.659985
218,2.066348
219,1.768192
220,1.441786
221,2.029922
222,1.570796
223,2.008990
224,-2.468431
225,-1.685673
226,-0.957131
227,-0.569313
228,-0.850742
229,-0.709170
230,-1.929567
231,-2.269271
232,-2.108383
233,0.254275
234,-1.152572
235,-0.581380
236,-0.610458
237,-0.349290
238,-0.711402
239,-0.351445
240,0.687124
241,0.730421
242,0.485904
243,0.715843
244,0.017224
