Time, x COM, y COM, COM
0,509.330769,509.676923,720.547291
1,509.245614,509.736842,720.529488
2,509.050505,509.727273,720.384834
3,509.050000,509.770000,720.414711
4,508.808081,509.757576,720.234996
5,508.830000,509.830000,720.301741
6,508.712871,509.910891,720.276268
7,508.722772,509.663366,720.108052
8,508.909091,509.666667,720.242025
9,508.880000,509.720000,720.259212
10,509.000000,509.752475,720.366980
11,509.020000,509.720000,720.358132
12,509.030303,509.676768,720.334823
13,509.110000,509.740000,720.435882
14,509.160000,509.680000,720.428767
15,509.140000,509.720000,720.442932
16,509.000000,509.656566,720.299115
17,509.050505,509.535354,720.249049
18,509.060000,509.570000,720.280271
19,509.121212,509.454545,720.241864
20,509.190000,509.580000,720.379228
21,509.230000,509.650000,720.457018
22,509.262626,509.696970,720.513306
23,509.386139,509.900990,720.744933
24,509.330000,509.630000,720.513557
25,509.380000,509.870000,720.718670
26,509.613861,510.029703,720.996939
27,509.600000,509.780000,720.810522
28,509.747475,509.727273,720.877507
29,509.540000,509.800000,720.782250
30,509.590000,509.720000,720.761019
31,509.820000,509.840000,721.008501
32,509.838384,509.858586,721.034642
33,510.069307,509.811881,721.164927
34,510.131313,509.515152,720.999061
35,510.080000,509.490000,720.944982
36,510.190000,509.340000,720.916827
37,510.120000,509.110000,720.704798
38,510.210000,509.210000,720.839142
39,510.060606,509.414141,720.877652
40,510.020000,509.260000,720.740000
41,509.860000,509.350000,720.690393
42,509.780000,509.350000,720.633798
43,509.848485,509.424242,720.734720
44,509.970297,509.574257,720.926923
45,509.940000,509.650000,720.959032
46,509.850000,509.820000,721.015572
47,509.929293,509.868687,721.106068
48,509.910000,509.920000,721.128709
49,509.690000,510.030000,721.050967
50,509.670000,510.070000,721.065125
51,509.686869,509.888889,720.948946
52,509.760000,509.870000,720.987291
53,509.737374,509.949495,721.027515
54,509.707071,509.929293,720.991804
55,509.686869,509.919192,720.970378
56,509.810000,509.880000,721.029715
57,509.890000,509.890000,721.093353
58,509.949495,510.050505,721.248920
59,509.868687,509.979798,721.141784
60,509.989899,510.151515,721.348921
61,509.980000,510.130000,721.326706
62,509.838384,510.050505,721.170365
63,510.000000,509.900000,721.178210
64,509.860000,509.750000,720.973149
65,509.840000,509.540000,720.810542
66,509.857143,509.418367,720.736692
67,509.757576,509.484848,720.713256
68,509.690000,509.450000,720.640825
69,509.640000,509.550000,720.676163
70,509.690000,509.610000,720.753944
71,509.590000,509.580000,720.662018
72,509.550000,509.740000,720.746884
73,509.653061,509.826531,720.880943
74,509.680000,509.830000,720.902442
75,509.870000,509.830000,721.036785
76,510.050505,510.010101,721.291772
77,510.101010,510.030303,721.341771
78,510.138614,509.970297,721.325938
79,510.010000,509.840000,721.142861
80,510.050505,509.939394,721.241779
81,510.020202,510.161616,721.377489
82,510.191919,510.101010,721.456052
83,510.059406,510.287129,721.493972
84,510.110000,510.310000,721.545916
85,510.130000,510.280000,721.538838
86,510.173469,510.387755,721.645778
87,510.020000,510.120000,721.347915
88,509.848485,510.121212,721.227515
89,509.898990,510.404040,721.463280
90,509.760000,510.360000,721.333894
91,509.818182,510.131313,721.213238
92,509.740000,510.240000,721.234861
93,509.606061,510.404040,721.256280
94,509.660000,510.450000,721.326915
95,509.535354,510.494949,721.270663
96,509.640000,510.520000,721.362322
97,509.670000,510.550000,721.404749
98,509.580000,510.620000,721.390713
99,509.555556,510.646465,721.392179
100,509.544554,510.623762,721.368338
101,509.585859,510.707071,721.456485
